 empty-16-16-random-4.scen	5	 55, 16.00	9.60
 empty-16-16-random-4.scen	5	 60, 23.00	14.62
 empty-16-16-random-4.scen	5	 65, 9.00	4.92
 empty-16-16-random-4.scen	5	 70, 7.00	4.77
 empty-16-16-random-4.scen	5	 75, 12.00	11.91
 empty-16-16-random-4.scen	5	 80, 15.00	16.23
 empty-16-16-random-4.scen	5	 85, 15.00	20.03
 empty-16-16-random-4.scen	5	 90, 19.00	22.12
 empty-16-16-random-4.scen	5	 95, 17.00	22.67
 empty-16-16-random-4.scen	5	 100, 25.00	29.43
 empty-16-16-random-4.scen	5	 105, 26.00	35.82
 empty-16-16-random-4.scen	5	 110, 46.00	56.05
 empty-16-16-random-4.scen	5	 115, 42.00	57.54
 empty-16-16-random-4.scen	5	 120, 13.00	35.56
 empty-16-16-random-4.scen	5	 125, 15.00	22.72
s	 empty-16-16-random-5.scen	5	 5, 1.00	0.29
 empty-16-16-random-5.scen	5	 10, 5.00	1.12
 empty-16-16-random-5.scen	5	 15, 8.00	1.86
 empty-16-16-random-5.scen	5	 20, 10.00	2.71
 empty-16-16-random-5.scen	5	 25, 7.00	1.62
 empty-16-16-random-5.scen	5	 30, 9.00	2.20
 empty-16-16-random-5.scen	5	 35, 14.00	3.43
 empty-16-16-random-5.scen	5	 40, 15.00	3.64
 empty-16-16-random-5.scen	5	 45, 18.00	5.33
 empty-16-16-random-5.scen	5	 50, 13.00	11.42
 empty-16-16-random-5.scen	5	 55, 12.00	9.78
 empty-16-16-random-5.scen	5	 60, 5.00	7.18
 empty-16-16-random-5.scen	5	 65, 6.00	5.44
 empty-16-16-random-5.scen	5	 70, 7.00	7.07
 empty-16-16-random-5.scen	5	 75, 11.00	6.68
 empty-16-16-random-5.scen	5	 80, 8.00	5.00
 empty-16-16-random-5.scen	5	 85, 9.00	6.27
 empty-16-16-random-5.scen	5	 90, 10.00	7.35
 empty-16-16-random-5.scen	5	 95, 7.00	4.80
 empty-16-16-random-5.scen	5	 100, 8.00	6.23
 empty-16-16-random-5.scen	5	 105, 8.00	5.87
 empty-16-16-random-5.scen	5	 110, 9.00	7.42
 empty-16-16-random-5.scen	5	 115, 13.00	10.08
 empty-16-16-random-5.scen	5	 120, 16.00	13.10
 empty-16-16-random-5.scen	5	 125, 16.00	13.77
s	 random-32-32-20-random-1.scen	5	 5, 13.00	1.50
 random-32-32-20-random-1.scen	5	 10, 31.00	20.62
 random-32-32-20-random-1.scen	5	 15, 51.00	58.62
 random-32-32-20-random-1.scen	5	 20, 101.00	56.08
 random-32-32-20-random-1.scen	5	 25, 43.00	16.81
 random-32-32-20-random-1.scen	5	 30, 75.00	28.79
 random-32-32-20-random-1.scen	5	 35, 106.00	43.30
 random-32-32-20-random-1.scen	5	 40, 98.00	38.47
 random-32-32-20-random-1.scen	5	 45, 103.00	75.43
 random-32-32-20-random-1.scen	5	 50, 100.00	65.72
 random-32-32-20-random-1.scen	5	 55, 123.00	63.49
 random-32-32-20-random-1.scen	5	 60, 169.00	79.68
 random-32-32-20-random-1.scen	5	 65, 169.00	90.05
 random-32-32-20-random-1.scen	5	 70, 211.00	119.61
 random-32-32-20-random-1.scen	5	 75, 276.00	121.39
 random-32-32-20-random-1.scen	5	 80, 222.00	80.23
 random-32-32-20-random-1.scen	5	 85, 256.00	105.79
 random-32-32-20-random-1.scen	5	 90, 256.00	91.56
 random-32-32-20-random-1.scen	5	 95, 273.00	98.36
 random-32-32-20-random-1.scen	5	 100, 320.00	137.34
 random-32-32-20-random-1.scen	5	 105, 338.00	147.36
 random-32-32-20-random-1.scen	5	 110, 319.00	144.93
 random-32-32-20-random-1.scen	5	 115, 408.00	231.81
 random-32-32-20-random-1.scen	5	 120, 456.00	256.78
 random-32-32-20-random-1.scen	5	 125, 336.00	161.13
 random-32-32-20-random-1.scen	5	 130, 379.00	196.93
s	 random-32-32-20-random-2.scen	5	 5, 13.00	0.98
 random-32-32-20-random-2.scen	5	 10, 130.00	19.01
 random-32-32-20-random-2.scen	5	 15, 39.00	16.32
 random-32-32-20-random-2.scen	5	 20, 93.00	43.01
 random-32-32-20-random-2.scen	5	 25, 56.00	10.06
 random-32-32-20-random-2.scen	5	 30, 58.00	7.43
 random-32-32-20-random-2.scen	5	 35, 178.00	50.76
 random-32-32-20-random-2.scen	5	 40, 385.00	149.98
 random-32-32-20-random-2.scen	5	 45, 454.00	351.98
 random-32-32-20-random-2.scen	5	 50, 354.00	400.77
 random-32-32-20-random-2.scen	5	 55, 271.00	370.09
 random-32-32-20-random-2.scen	5	 60, 89.00	65.35
 random-32-32-20-random-2.scen	5	 65, 333.00	166.28
 random-32-32-20-random-2.scen	5	 70, 277.00	130.88
s	 random-32-32-20-random-3.scen	5	 5, 39.00	2.43
 random-32-32-20-random-3.scen	5	 10, 19.00	15.07
 random-32-32-20-random-3.scen	5	 15, 8.00	2.48
 random-32-32-20-random-3.scen	5	 20, 17.00	3.65
 random-32-32-20-random-3.scen	5	 25, 25.00	4.81
 random-32-32-20-random-3.scen	5	 30, 92.00	34.27
 random-32-32-20-random-3.scen	5	 35, 126.00	79.56
 random-32-32-20-random-3.scen	5	 40, 155.00	159.45
 random-32-32-20-random-3.scen	5	 45, 213.00	216.12
 random-32-32-20-random-3.scen	5	 50, 252.00	287.44
 random-32-32-20-random-3.scen	5	 55, 285.00	376.14
158.00	s	 random-32-32-20-random-3.scen	5	 5, 36.00	2.73
 random-32-32-20-random-3.scen	5	 10, 19.00	16.51
 random-32-32-20-random-3.scen	5	 15, 7.00	2.15
 random-32-32-20-random-3.scen	5	 20, 16.00	4.03
 random-32-32-20-random-3.scen	5	 25, 26.00	5.74
 random-32-32-20-random-3.scen	5	 30, 88.00	35.02
 random-32-32-20-random-3.scen	5	 35, 118.00	63.76
 random-32-32-20-random-3.scen	5	 40, 146.00	127.62
 random-32-32-20-random-3.scen	5	 45, 204.00	180.73
 random-32-32-20-random-3.scen	5	 50, 240.00	296.57
 random-32-32-20-random-3.scen	5	 55, 237.00	291.59
 random-32-32-20-random-3.scen	5	 60, 239.00	388.67
 random-32-32-20-random-3.scen	5	 65, 224.00	143.86
 random-32-32-20-random-3.scen	5	 70, 260.00	99.07
 random-32-32-20-random-3.scen	5	 75, 370.00	159.17
s	 random-32-32-20-random-4.scen	5	 5, 65.00	4.16
s	 random-32-32-20-random-4.scen	5	 5, 64.00	4.12
 random-32-32-20-random-4.scen	5	 10, 62.00	10.64
 random-32-32-20-random-4.scen	5	 15, 35.00	16.33
 random-32-32-20-random-4.scen	5	 20, 59.00	13.17
 random-32-32-20-random-4.scen	5	 25, 120.00	53.10
 random-32-32-20-random-4.scen	5	 30, 141.00	54.58
 random-32-32-20-random-4.scen	5	 35, 377.00	160.64
 random-32-32-20-random-4.scen	5	 40, 119.00	195.76
 random-32-32-20-random-4.scen	5	 45, 155.00	163.83
 random-32-32-20-random-4.scen	5	 50, 140.00	206.79
 random-32-32-20-random-4.scen	5	 55, 161.00	215.19
 random-32-32-20-random-4.scen	5	 60, 128.00	70.87
 random-32-32-20-random-4.scen	5	 65, 131.00	61.70
 random-32-32-20-random-4.scen	5	 70, 160.00	71.25
 random-32-32-20-random-4.scen	5	 75, 172.00	86.53
 random-32-32-20-random-4.scen	5	 80, 195.00	170.06
s	 random-32-32-20-random-5.scen	5	 5, 11.00	1.72
 random-32-32-20-random-5.scen	5	 10, 13.00	2.88
 random-32-32-20-random-5.scen	5	 15, 58.00	9.29
 random-32-32-20-random-5.scen	5	 20, 87.00	15.65
 random-32-32-20-random-5.scen	5	 25, 114.00	15.83
 random-32-32-20-random-5.scen	5	 30, 142.00	60.84
 random-32-32-20-random-5.scen	5	 35, 202.00	86.11
 random-32-32-20-random-5.scen	5	 40, 276.00	92.80
 random-32-32-20-random-5.scen	5	 45, 254.00	132.50
 random-32-32-20-random-5.scen	5	 50, 213.00	171.87
s	 random-32-32-20-random-5.scen	5	 5, 11.00	1.83
 random-32-32-20-random-5.scen	5	 10, 15.00	3.64
 random-32-32-20-random-5.scen	5	 15, 57.00	9.25
 random-32-32-20-random-5.scen	5	 20, 85.00	15.01
 random-32-32-20-random-5.scen	5	 25, 114.00	15.54
 random-32-32-20-random-5.scen	5	 30, 140.00	60.19
 random-32-32-20-random-5.scen	5	 35, 201.00	84.68
 random-32-32-20-random-5.scen	5	 40, 273.00	90.14
 random-32-32-20-random-5.scen	5	 45, 254.00	131.66
 random-32-32-20-random-5.scen	5	 50, 212.00	169.98
 random-32-32-20-random-5.scen	5	 55, 225.00	183.08
 random-32-32-20-random-5.scen	5	 60, 201.00	151.46
 random-32-32-20-random-5.scen	5	 65, 257.00	87.57
 random-32-32-20-random-5.scen	5	 70, 214.00	77.51
 random-32-32-20-random-5.scen	5	 75, 264.00	247.25
 random-32-32-20-random-5.scen	5	 80, 247.00	239.34
 random-32-32-20-random-5.scen	5	 85, 256.00	251.68
 random-32-32-20-random-5.scen	5	 90, 292.00	275.71
 random-32-32-20-random-5.scen	5	 95, 326.00	334.98
 random-32-32-20-random-5.scen	5	 100, 292.00	236.89
 random-32-32-20-random-5.scen	5	 105, 311.00	235.16
 random-32-32-20-random-5.scen	5	 110, 332.00	166.36
s	 random-32-32-20-random-4.scen	5	 5, 68.00	4.08
 random-32-32-20-random-4.scen	5	 10, 61.00	10.58
 random-32-32-20-random-4.scen	5	 15, 37.00	17.40
 random-32-32-20-random-4.scen	5	 20, 59.00	14.25
 random-32-32-20-random-4.scen	5	 25, 125.00	55.99
 random-32-32-20-random-4.scen	5	 30, 147.00	57.82
 random-32-32-20-random-4.scen	5	 35, 388.00	167.96
 random-32-32-20-random-4.scen	5	 40, 119.00	204.16
 random-32-32-20-random-4.scen	5	 45, 154.00	167.67
 random-32-32-20-random-4.scen	5	 50, 140.00	207.53
 random-32-32-20-random-4.scen	5	 55, 161.00	213.45
